year,ActualRate,PredictedRate
1970,0.8868835599505562,
1971,0.8377978981987411,
1972,0.7882552763819095,
1973,0.6747419678714859,
1974,0.7607308701796891,
1975,0.7829547244094488,
1976,0.9124415146708962,
1977,0.8008382084095064,
1978,0.732996289424861,
1979,0.7753883079033087,
1980,0.7094613838163847,
1981,0.7478726275832982,
1982,0.82990234375,
1983,0.8909088717454194,
1984,0.9139903155027616,
1985,1.0503068011156405,
1986,1.0896139080043463,
1987,1.0652528284460865,
1988,0.9802155136268345,
1989,1.0889175658178678,
1990,1.1148883524441762,
1991,1.139018606663782,
1992,1.142672122118184,
1993,1.117414693198154,
1994,0.9183428449136825,
1995,0.9840777126099706,
1996,0.9160170728148256,
1997,1.071022020272632,1.3725786128643547
1998,1.062368747146677,1.3159595468609686
1999,1.0597381001870714,0.9014249470660296
2000,1.2037705901967322,1.312293630091776
2001,1.2295831240582622,1.3730096488957555
2002,1.1195233265720081,1.2677720907685737
2003,1.0284095642113382,0.9674505362541085
2004,1.0679675540765392,1.507964407957184
2005,1.1719303525365432,1.3171861301712686
2006,1.0843856186717007,1.5916067860406045
2007,1.1442560274387168,1.1425147430767923
2008,1.185072249589491,0.9050575114804701
2009,1.0608477640342533,1.2343626245372483
2010,0.9893032374824049,0.9073391670405015
2011,0.968180924287119,1.0105397955828372
2012,0.9660026133279727,1.1812339779170917
2013,1.0605791650996614,0.7267523285169021
2014,1.0509568140677528,1.3685695336995998
2015,0.9889725433526012,0.9046297351248789
2016,1.029253742459224,1.1930479268703018
2017,1.0219617377441212,0.9665826504581172
2018,1.038656989956748,1.4470669540526027
2019,1.0929994639712075,1.233468650668442
2020,1.0099284380833853,0.9027473874346793
2021,1.071255343956471,1.2541554296394022
2022,1.0850657943100788,1.198407518685916
2023,1.102721375773118,1.4502257953199218
