year,ActualRate,PredictedRate
1970,2.420630836143938,0.0
1971,2.5580833799164315,0.0
1972,2.336360818642046,0.0
1973,2.313905970853148,0.0
1974,2.3264224854627953,0.0
1975,2.0558769549548455,0.0
1976,1.7173811639649577,0.0
1977,2.0851638874011504,0.0
1978,2.412511367774724,0.0
1979,2.594520060492839,0.0
1980,2.847214437843291,0.0
1981,2.2619340633341536,0.0
1982,1.9838969820160899,0.0
1983,1.8051264197745767,0.0
1984,1.5285458864455903,0.0
1985,2.0198445428951537,0.0
1986,2.0355472459289055,0.0
1987,2.4316388156404924,0.0
1988,2.157828166307481,0.0
1989,1.859971518433546,0.0
1990,2.236288058734614,0.0
1991,2.161594884755471,0.0
1992,1.921599816140894,0.0
1993,1.9577028356104327,0.0
1994,2.1903124999999997,0.0
1995,2.1142009513904285,0.0
1996,2.3272793957835254,0.0
1997,2.365761045730881,1.65069005919346
1998,2.5506452718326122,1.796698543134979
1999,2.3329491690899187,2.014456626327094
2000,2.237555416615061,1.8262239273015766
2001,2.3101970368329066,2.9133392902531456
2002,2.5427771975294315,2.1931728815176093
2003,2.3138646268725975,2.874297052194451
2004,2.321543420780711,2.190422439396642
2005,2.0025690739969075,2.308888426300168
2006,2.2876817739250606,1.4756600395478456
2007,1.9859721807629354,2.7740375387341247
2008,1.7756007959589772,2.6893447090818583
2009,1.7020932021539332,2.360160994494041
2010,1.5570452147394855,2.0921605169397797
2011,1.5723829564201,1.4943724834233394
2012,1.5699511135938293,1.4235755705380018
2013,1.7515372885096123,2.2503683256182754
2014,1.8106843016277585,1.6372255669494558
2015,2.050950713461142,1.8481781896954288
2016,1.6517894488212224,1.509530112709628
2017,1.695018308089338,1.799657280800956
2018,1.7317924388172372,1.6315756145741167
2019,1.7135366640948528,2.1280165135215996
2020,1.725276317979054,1.5765191096726026
2021,1.7282839409978774,1.6596018897006648
2022,1.6416094844793505,1.583613957424663
2023,1.688471957076287,1.609718790819421
