year,ActualRate,PredictedRate
1970,398.7797440183038,inf
1971,374.926604663239,inf
1972,385.0498652325472,inf
1973,416.64000666624014,inf
1974,399.3603864221449,inf
1975,383.6039030424321,inf
1976,318.09801721075405,inf
1977,273.93601539520404,inf
1978,223.8873798158509,inf
1979,264.9883701391161,inf
1980,239.682155486419,inf
1981,248.0253281344638,inf
1982,230.44095612404195,inf
1983,209.44448503446094,inf
1984,207.8606249394671,inf
1985,136.5204910107555,inf
1986,105.76966544609402,inf
1987,89.22875289993448,inf
1988,107.66468162137792,inf
1989,113.71284118806732,inf
1990,103.93153510125205,inf
1991,95.1269473671414,inf
1992,85.9028440555232,inf
1993,75.73362078479937,inf
1994,77.47801074003385,inf
1995,76.60834310524912,inf
1996,92.39398387724981,inf
1997,84.81838943617798,95.93793723145727
1998,70.96683098721246,70.39976971272769
1999,66.81834823997072,96.64150332086197
2000,63.654605346986855,74.69068535297464
2001,67.29708753727381,75.47038539248457
2002,67.88739412057798,70.83641749052218
2003,80.325020081255,63.022062481972334
2004,81.10948300105088,85.00361871916392
2005,86.55458177269243,70.42111310048801
2006,94.12515044593718,61.504234475525216
2007,100.50242395977787,111.16919843847182
2008,62.87160060356736,81.02881083564453
2009,82.56865099901252,55.48737047306907
2010,82.77767106623129,77.75863330768117
2011,78.93240168995776,83.11654303407437
2012,90.05531300334208,96.70739091703726
2013,93.34841564778304,109.59400318189884
2014,98.94891385030533,66.29312065372216
2015,88.03730151424159,85.59238664517595
2016,84.51647962812748,68.49820947353466
2017,88.06201937364426,62.76125924182908
2018,78.2238119974704,56.887473461162365
2019,76.44947132724465,76.45187363180348
2020,79.81582976730715,83.25320510187346
2021,82.87076340364396,68.95167316870392
2022,89.87036039606643,76.68672284202621
2023,97.06646018982372,75.73470469372677
