year,ActualRate,PredictedRate
1970,353.6711990111248,inf
1971,314.11272136565196,inf
1972,303.5175879396985,inf
1973,281.12449799196787,inf
1974,303.8057742782152,inf
1975,300.34448818897636,inf
1976,290.24583663758926,inf
1977,219.37842778793416,inf
1978,164.1086186540732,inf
1979,205.4688839362249,inf
1980,170.0452337074887,inf
1981,185.49135385913118,inf
1982,191.24348958333334,inf
1983,186.595949855352,inf
1984,189.98259816902473,inf
1985,143.38840020024315,inf
1986,115.24809851503078,inf
1987,95.05118140537213,inf
1988,105.53459119496856,inf
1989,123.82391022874404,inf
1990,115.87205793602898,inf
1991,108.3513630463003,inf
1992,98.15878511291211,inf
1993,84.62586063403192,inf
1994,71.15137680125552,inf
1995,75.38856304985336,inf
1996,84.63446665693857,inf
1997,90.84236281020621,131.68236080622117
1998,75.39294332485488,92.64324905027767
1999,70.8099494214647,87.11506201538953
2000,76.62554184728243,98.01611061589773
2001,82.74736313410347,103.6215673497626
2002,76.00152129817445,89.80443310451487
2003,82.60701889703046,60.970728144024065
2004,86.62229617304493,128.1824315760622
2005,101.4359415305245,92.75771344718503
2006,102.0679594988845,97.89055696147842
2007,115.00050438817715,127.01244819198358
2008,74.50738916256158,73.33573389313018
2009,87.59276879162702,68.49153624580816
2010,81.89221797707621,70.55345357559922
2011,76.42084562438545,83.9925744072056
2012,86.99366770529701,114.23405606691513
2013,99.0033847311019,79.64769700393376
2014,103.99103525558142,90.72674522055584
2015,87.06647398843931,77.42941805953174
2016,86.98890295672898,81.72164680672819
2017,89.99601434834597,60.66394430405616
2018,81.24770911223517,82.31998294519249
2019,83.5592311815606,94.30098940969489
2020,80.60827629122588,75.15661340127978
2021,88.77574815390594,86.47611528725152
2022,97.51525398809086,91.9019452372672
2023,107.03726052194901,109.83242234777931
