year,ActualRate,PredictedRate
1970,856.1074101823282,762.4819443749053
1971,803.5265319457952,843.2767978106187
1972,709.1266002310532,610.3528797502432
1973,650.4956544567083,549.4944417483322
1974,706.7805844942743,1115.1424827034482
1975,617.4713118154243,696.4420965235574
1976,498.462732760646,674.2696426423969
1977,457.43997529824134,517.9768794459147
1978,395.9139080527587,394.44330621127983
1979,533.0931411796104,756.2383211563003
1980,484.1552444983985,657.8371157802578
1981,419.5692117479379,538.1177959177406
1982,379.40738181460057,296.0405674549872
1983,336.82927890682794,404.51098576775865
1984,290.3971189275083,396.5482255130237
1985,289.6222776589275,246.63036535542972
1986,234.59294953081408,264.91095828688094
1987,231.13014217778868,308.4981189857952
1988,227.72551340024862,195.93572048995443
1989,230.30894632653616,235.17494002965807
1990,259.123299503347,208.50565327499606
1991,234.21175211716573,156.89317103296048
1992,188.62190342558546,249.3804154506348
1993,165.67228732921757,177.70796573499587
1994,155.84375,165.3875453073486
1995,159.38657172395727,145.388117551803
1996,196.9680504238209,277.244971913123
1997,214.9113232385375,217.36676395395574
1998,192.3006544210852,166.45199059992493
1999,165.19601266610525,175.48951392979717
2000,171.45389621145085,178.9993664677905
2001,191.16271311814234,301.8847834776759
2002,193.25493533454542,196.95664732488427
2003,191.141458957235,175.2479841745176
2004,201.0974217734506,280.77367446063136
2005,203.1324795007869,214.16721102827296
2006,233.49901064731932,144.4531831571359
2007,228.38780248862568,352.33729917108565
2008,132.29537950186963,197.22506793212477
2009,149.09105631806958,161.65105230033123
2010,127.50988612560938,147.60914990461242
2011,120.16283517499525,125.51619200601544
2012,136.5758054895426,162.6208115403288
2013,173.40812004518818,179.23665454609414
2014,188.29493504730007,148.54014688120336
2015,178.5690469451356,143.10336169843592
2016,143.68735206845815,123.36128671497681
2017,152.54489197551715,109.17430904889837
2018,140.7041683117912,134.31127676553322
2019,143.18180625318197,200.6740627052562
2020,139.07155011836446,118.48583724539358
2021,153.4296998844676,143.51592434469515
2022,160.08196582826278,145.53720319221335
2023,180.72941275357962,176.7993140944353
