year,ActualRate,PredictedRate
1970,4.812339927814901,inf
1971,4.662762570700701,inf
1972,4.81184831585309,inf
1973,4.827072077233154,inf
1974,3.3705777754186683,inf
1975,3.293600609441823,inf
1976,2.6611376132436546,inf
1977,2.282800128293367,inf
1978,1.863810664448502,inf
1979,1.74669013274845,inf
1980,2.0821649320211817,inf
1981,2.028529116188418,inf
1982,1.955806327614475,inf
1983,1.965909798159378,inf
1984,2.1398634626384805,inf
1985,1.413889274732338,inf
1986,1.0793026514879551,inf
1987,0.9233550300090385,inf
1988,1.286672079130333,inf
1989,1.2259108323272647,inf
1990,1.0018102955630361,inf
1991,1.0299087632281163,inf
1992,1.002601530619974,inf
1993,1.0017692619679095,inf
1994,1.0187729204487106,inf
1995,0.857122422858982,inf
1996,1.0724074128649066,inf
1997,0.9498745836588676,0.9892749858022367
1998,0.8450332426807782,0.7050511985522397
1999,1.0458182959359799,1.5989747663171412
2000,0.9066210761561705,1.008807997568363
2001,0.8564294759201013,0.6276520467789111
2002,0.7852063233229153,0.6630648669482367
2003,0.927675231918808,0.7916460504099204
2004,0.8815164326161079,0.9860812369509403
2005,0.9643018294807973,0.6695479977989228
2006,0.9656235484588243,0.885729172334891
2007,0.9922410365502631,0.8242386955794331
2008,0.7369313670745411,0.8810168767418698
2009,0.9242558641590527,0.6305770916184149
2010,0.9549158960568559,1.1421251073899656
2011,0.9555776730581735,0.929562356461299
2012,0.9537227024709803,0.8427852712354069
2013,0.790314459164279,0.9012064492953925
2014,0.8112597039898624,0.7259470088307101
2015,0.7248282724670463,0.8782218122793607
2016,0.7351775967652185,0.6719700717596899
2017,0.7607341673615168,0.685079677367396
2018,0.6952129822025476,0.7579912282756875
2019,0.6783559440304677,0.5587566707901067
2020,0.6787002720346528,0.6854598340894194
2021,0.6622550193372371,0.8784780739108178
2022,0.6255017733559618,0.666300709361612
2023,0.5836915214078364,0.6540817295460196
