year,ActualRate,PredictedRate
1970,4.267985166872682,inf
1971,3.906452681532806,inf
1972,3.792964824120603,inf
1973,3.2570281124497993,inf
1974,2.564102564102564,inf
1975,2.578740157480315,inf
1976,2.428132434575734,inf
1977,1.8281535648994514,inf
1978,1.3661663012312364,inf
1979,1.3543631064632264,inf
1980,1.4772156140056962,inf
1981,1.5170814002530577,inf
1982,1.6231282552083335,inf
1983,1.751446480231437,inf
1984,1.9558144813497766,inf
1985,1.4850175212758348,inf
1986,1.1760231800072436,inf
1987,0.9836065573770493,inf
1988,1.2612159329140462,inf
1989,1.3349158394475613,inf
1990,1.1169066298818866,inf
1991,1.1730852444829079,inf
1992,1.1456448186324653,inf
1993,1.1193916925172127,inf
1994,0.9355828220858897,inf
1995,0.843475073313783,inf
1996,0.9823434991974318,inf
1997,1.0173365955959455,1.3578576877538384
1998,0.8977369073240722,0.9278188557605883
1999,1.1082934940760756,1.4413557440873461
2000,1.0913637879293099,1.3238523091946026
2001,1.0530512305374184,0.861772316376615
2002,0.8790567951318459,0.8406151326861523
2003,0.9540300809872735,0.7658783959925245
2004,0.9414309484193012,1.4869754086764122
2005,1.1300945829750644,0.8819193361846842
2006,1.0471082889994852,1.4097325612823406
2007,1.1353777867446786,0.9417048615138864
2008,0.8733169129720855,0.7973709420362927
2009,0.9804947668886775,0.7783607937831716
2010,0.9447013874924592,1.0362948435952548
2011,0.925172074729597,0.9393597536799015
2012,0.9212986229771836,0.9955265984713347
2013,0.8381910492666415,0.654953885499876
2014,0.8525989138867339,0.9935089593660642
2015,0.7168352601156069,0.7944655654231692
2016,0.7566842928427795,0.8016925010317859
2017,0.7774412116381029,0.6621861303247694
2018,0.7220878234733523,1.0968640578994902
2019,0.7414426832069837,0.6892088367714637
2020,0.6854387056627255,0.6187970744156319
2021,0.7094442285270113,1.1017480462144162
2022,0.6787105785488495,0.7984997798047151
2023,0.6436491175139538,0.9485661964351063
