year,ActualRate,PredictedRate
1970,10.331216503136945,10.763592079826061
1971,9.993031679059047,7.851432723300755
1972,8.861734401562897,7.340137203923622
1973,7.53645679663415,9.065526650514705
1974,5.965185860161013,7.777816973479764
1975,5.301572462580409,4.064441954227655
1976,4.17002890675274,5.003489423224902
1977,3.8119997941520114,3.9476052362179437
1978,3.2958917319911056,3.273744488366277
1979,3.5139222489102395,4.352757148859095
1980,4.20594962400456,5.3016666999543505
1981,3.431538096083066,4.93127587829645
1982,3.2201192469328546,2.921913447118901
1983,3.1615823142869575,3.3605129831895946
1984,2.989552180117917,3.394811713644419
1985,2.9995045364526827,2.813154709170636
1986,2.3938507452122986,2.3771765118555814
1987,2.39177588423655,2.9998854298426605
1988,2.721487263837695,2.0942378268052693
1989,2.4829054408782723,2.8677618694092315
1990,2.4977249591263844,2.8490602495162825
1991,2.5357350638563747,2.120291934668056
1992,2.201470872846913,3.017722414578019
1993,2.1914362905997087,1.5198610752344703
1994,2.04921875,3.036205816808228
1995,1.7832758024741113,1.617860083178757
1996,2.2861877852640733,2.3965797307621104
1997,2.406775288257358,2.241402186974678
1998,2.289808398015777,1.667010786438212
1999,2.5855923861125434,2.903548629571374
2000,2.4419869551787583,2.4176507632646285
2001,2.43275583242079,2.5106351485524567
2002,2.235245573994559,1.8436143128005962
2003,2.2074964573688516,2.2013620159407274
2004,2.1855728244221733,3.2571043019958057
2005,2.2630924625572963,2.0362533482471443
2006,2.395450548069977,2.0802860071337848
2007,2.2548286991311244,2.612324636247941
2008,1.550662205797672,2.1444053241409207
2009,1.6688934774687234,1.8370567851304613
2010,1.470942774752886,2.1680951556782766
2011,1.4547248020606411,1.4037533679345708
2012,1.446393799095491,1.4172073454045864
2013,1.4681228776855202,1.4738874786695397
2014,1.5437874689595863,1.6265982692674683
2015,1.4701937881682077,1.4683139304791482
2016,1.249883131006451,1.2101789714409754
2017,1.3177770871897418,1.191708090684382
2018,1.2505062328531475,1.78961664937162
2019,1.2704892220000314,1.4666477859146874
2020,1.1825711663061156,0.9755454128257433
2021,1.2261210671968616,1.8284631394714606
2022,1.1141777229622585,1.2645153962992668
2023,1.0867834851192106,1.5269248307376966
